id,name,artist_id,artists,artist_genre,album_type,album_id,album_name,album_release_date,duration_ms,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
4iKTbuGckmJaWQAyKDR7Q7,wind of change (with morten harket) - mtv unplugged,"27T030eWyCQRmDyuvr1kxY,08t5VdmH6cpxHXUmb9bFeP","scorpions,morten harket","album rock,german hard rock,german metal,german rock,hard rock,metal,rock",album,7HUFiEGHoty4bhJetqJa3h,mtv unplugged,2013,331293,46,0.282,0.476,11,-5.997,1,0.0385,0.784,0.0,0.988,0.265,167.055,3.0
4iObEYRE4FLm0D90gmZFef,since u been gone - acoustic version,6szSMqKKwkFqJoK3MxK3Hk,thomas daniel,"acoustic cover,viral pop",single,1aF6m76ZjCEH8tN6W9W9Uk,since u been gone,2019,221170,44,0.538,0.162,5,-13.31,1,0.0299,0.847,0.0,0.114,0.366,94.981,4.0
4jPBOLovjf8w66PyTIhq26,the clap - 2003 remaster,7AC976RDJzL2asmZuz7qil,yes,"album rock,art rock,classic rock,jazz fusion,progressive rock,rock,symphonic rock",album,4nQe6IzubN7cE7EWzrIvu4,the yes album (deluxe edition),1971,196640,32,0.402,0.48,7,-13.829,1,0.03,0.725,0.921,0.731,0.741,111.63,4.0
4l2fpkIEUWv7G9DNp9M2nr,you're still the one - acoustic,1tTQcokfKcsCxZaHF2pIhw,bailey rushlow,"acoustic cover,channel pop,viral pop",single,7mUD3mHULhkL7RNQQUfzm3,you're still the one (acoustic),2018,161306,50,0.605,0.168,2,-11.388,1,0.0496,0.887,0.0,0.12,0.398,119.836,4.0
4l4XCTAODHDah14cQbIGgi,the wizard - 2017 remastered,45O9BwPMyywM755SYUK0sP,uriah heep,"album rock,art rock,blues rock,classic rock,hard rock,metal,progressive rock,rock,symphonic rock",album,159EKcPxxSaz2xlnuBTdpY,demons and wizards (expanded deluxe edition),1972,179347,45,0.439,0.507,5,-12.82,1,0.0373,1.42E-4,0.0042,0.116,0.69,138.052,4.0
4lvrvI8yzELWdLv8K7eVll,shade,1SNWW6LUqF0uJxbnSgJcQr,oakwhisper,"",single,69UsRtA7Wx0egKTm1qW2JK,shade,2022,143276,24,0.801,0.0797,2,-16.945,1,0.0483,0.986,0.805,0.142,0.215,116.031,4.0
4mJDfMcT7odIUjWlb2WO4L,baby one more time - recorded at spotify studios new york city,6eUKZXaKkcviH0Ku9w2n3V,ed sheeran,"pop,uk pop",single,14mR6XKPmsxzvOYCkqubJF,spotify singles,2017,177215,58,0.792,0.307,11,-6.224,0,0.0522,0.189,0.0,0.0834,0.631,104.511,4.0
4mkKaBEwyWSw7k9WWtkMjZ,steam,4mo3zahoMNo36n3sYo5Z1M,luna grove,"",single,1IKb4AFeHEtDfdQebnAw3C,steam,2021,86500,29,0.622,0.11,1,-19.806,1,0.0565,0.987,0.924,0.114,0.288,99.493,4.0
4muAobUpgKTEgqskgNESmC,umbrella - acoustic version,38SWPOPO1YqxUPnT4AAoID,the mayries,"acoustic cover,acoustic pop,neo mellow,viral pop",album,6NIj5YBKDtfqUJ5qDy9PbI,#acoustic,2018,178320,47,0.675,0.278,3,-9.569,1,0.0343,0.845,0.0,0.114,0.353,123.962,4.0
4myE1lw94ZjUkcmj4MA48T,shelter,3CBHXhdUqx63xJe4C4vzNg,andrew gialanella,"",single,0kLLqW18rAsgvQXbgFGNjG,shelter,2020,115200,28,0.394,0.0659,2,-14.35,1,0.0606,0.933,0.906,0.105,0.256,143.339,4.0
4mzSkWDdDDrd1i3wg1FfpC,love me like you do (acoustic),4k51JgB5G0e33QYVpbcPuf,jada facer,viral pop,single,4aX5Utj2TSwg3jc8felZng,love me like you do (acoustic),2021,156532,47,0.63,0.27,8,-8.691,1,0.03,0.893,0.0,0.137,0.417,94.973,4.0
4nr0dChikzW0GQM7m1e0r8,fortified heart,6m3MUFzflTDG8M0r7Isk9U,elsa pelling,"",single,6QluqiIXnhbDfhsNd44AGk,fortified heart,2020,201747,32,0.32,0.207,0,-15.32,1,0.0477,0.708,0.792,0.114,0.0638,179.514,3.0
4o8k0A5ZB6WybwgCnn77ox,"forever young - live at benaroya hall, seattle, wa - november 2010","2sG4zTOLvjKG1PSoOyf5Ej,5KeUHRKEYWc5cFO5V032sb","brandi carlile,seattle symphony orchestra","acoustic pop,folk,indie folk,lilith,modern folk rock,neo mellow,new americana",album,7jKJ68WplsoCCnbpKUXiV8,live at benaroya hall with the seattle symphony,2011,286093,45,0.424,0.259,9,-13.585,0,0.0444,0.936,2.09E-6,0.739,0.487,69.045,4.0
4oGuHZ966kmCmt3DRVxjXw,linger - acoustic version,7t0rwkOPGlDPEhaOcVtOt9,the cranberries,"irish rock,pop rock",album,0iBRl2CMi7gbt17WfdVI2r,something else,2017,295867,54,0.417,0.535,7,-8.619,1,0.0264,3.84E-4,1.54E-4,0.125,0.0774,92.069,4.0
4oW5GocSTgcpbihQbQGX8D,operator (that's not the way it feels),1R6Hx1tJ2VOUyodEpC12xM,jim croce,"classic rock,country rock,folk,folk rock,mellow gold,rock,roots rock,singer-songwriter,soft rock",compilation,1tqZDKhoWY7xa1JY4Ta6Me,the original albums…plus,2011,230213,64,0.688,0.454,7,-11.649,1,0.0336,0.763,8.56E-6,0.0897,0.831,129.975,4.0
4oytW6Etd5AUd0NHo5aXDQ,westward,3CBHXhdUqx63xJe4C4vzNg,andrew gialanella,"",single,1yGwZDfWlLmmvLvKjIevLR,westward,2020,128571,22,0.814,0.0778,10,-15.926,0,0.0588,0.968,0.937,0.0976,0.0901,84.018,4.0
4pG8lbKPKkfGSniMXxZTM7,sutilmente,4C4kpaAdp6aKSkguw40SsU,skank,"brazilian rock,latin alternative,manguebeat,mpb,pop rock brasileiro,rock mineiro,rock nacional brasileiro",album,0vDutxkmwaV9O49MBAvorz,estandarte,2008,242507,65,0.587,0.632,6,-7.254,1,0.0241,0.745,2.88E-5,0.0624,0.459,100.002,4.0
4q57nRsGk43u63pGzCm5mv,fail safe,3iexGtoBAyCUbxOKeru5py,william tyler,"american primitive,drone folk,indie folk,pastoral,tennessee experimental",album,0JbGIBNY8NDj1rpV6BAOCD,goes west,2019,198080,30,0.315,0.636,5,-9.162,1,0.0338,0.15,0.838,0.325,0.681,178.729,3.0
